Internal Number,Name,Division,Trial?,Time block?,Self-Scheduled?,Impounded?,
1,Anatomy & Physiology,C,,y,,,
2,Astronomy,C,,y,,,
3,Chemistry Lab,C,,y,,,
4,Disease Detectives,C,,y,,,
5,Dynamic Planet,C,,y,,,
6,Ecology,C,,y,,,
7,Experimental Design,C,,y,,,
8,Fermi Questions,C,,y,,,
9,Forensics,C,,y,,,
10,Game On,C,,y,,,
11,Helicopters,C,,,y,n,
12,Herpetology,C,,y,,,
13,Hovercraft,C,,y,n,y,
14,Materials Science,C,,y,,,
15,Microbe Mission,C,,y,,,
16,Mission Possible,C,,,y,y,
17,Mousetrap Vehicle,C,,,y,y,
18,Optics,C,,y,n,n,
19,Remote Sensing,C,,y,,,
20,Rocks & Minerals,C,,y,,,
21,Thermodynamics,C,,y,,y,
22,Towers,C,,,y,y,
23,Write It Do It,C,,y,,,
24,Density,C,y,y,,,
25,Detector Building,C,y,,n,y,
26,Electric Wright Stuff,C,y,,y,n,
27,Geocaching,C,y,,y,,(?)
28,Wifi Lab,C,y,n,y,y,
29,Solar Systems,B,,y,,,
30,Can't Judge,B,,y,,,
